,sessionId,itemInSession,userId,firstName,lastName,gender,level,location,artist,song,length
0,774,4,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Facto Delafe y las flores azules,Enero en la playa,315.81995
1,671,0,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Kings Of Leon,Manhattan,204.2771
2,671,1,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Franz Ferdinand,Michael,204.12036
3,774,5,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Blue October,Drilled A Wire Through My Cheek,272.32608
4,671,2,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Elisa,Almeno Tu Nell'Universo,248.97261
5,671,3,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",The Killers,A Dustland Fairytale,225.12281
6,671,4,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",FranÃÂ§oise Hardy,Noir Sur Blanc,210.12853
7,671,5,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Air,Playground Love,212.21832
8,671,6,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Ferry Corsten,Punk (Radio Edit),219.55873
9,671,7,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Beastie Boys,Unite (2009 Digital Remaster),211.722
10,671,8,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Henryk Gorecki,Symphony No. 3: III. Lento - Cantablile Semplice,1029.642
11,774,10,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Jill Scott,Gimme,213.39383
12,671,9,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Fleet Foxes,Drops In The River,253.04771
13,774,11,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",The Wallflowers,Another One In The Dark,389.95546
14,671,10,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Orishas,Atrevido,242.85995
15,671,11,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Coyote Shivers,You're Mine,335.15057
16,774,12,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Adoniran Barbosa,Fica Mais Um Pouco Amor,225.74975
17,774,13,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Traveling Wilburys,End Of The Line,207.59465
18,671,12,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",ISRAEL & NEW BREED,Favor Of The Lord,191.76444
19,774,14,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Selena,Ya No,235.88526
20,671,13,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Sunbeam,One Minute In Heaven,383.21587
21,774,15,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Guru Josh Project,Infinity 2008,192.15628
22,671,14,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Modeselektor,Hasir,290.40281
23,774,16,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Emma Bunton,What Took You So Long,241.05751
24,774,17,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",The All-American Rejects,Move Along,239.22893
25,671,15,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Kings Of Leon,Revelry,201.79546
26,774,18,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Megadeth,Paranoid,152.65914
27,671,16,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Coldplay,Speed Of Sound,291.60444
28,774,19,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Harmonia,Sehr kosmisch,655.77751
29,774,20,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Eyehategod,Anxiety Hangover,310.85669
30,784,1,40,Tucker,Garrison,M,free,"Oxnard-Thousand Oaks-Ventura, CA",Entre RÃÂ­os,Hoy No,281.15546
31,774,21,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Rammstein,Du Riechst So Gut,289.2273
32,774,22,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Delerium,Drama,455.8624
33,774,27,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Gareth Emery,More Than Everything,478.92853
34,774,28,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Tevin Campbell,I'm Ready (Album Version),286.69342
35,774,29,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Hector Lavoe,Hacha Y Machete,330.70975
36,774,30,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Alliance Ethnik,SinceritÃÂ© Et Jalousie,195.94404
37,774,31,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",OneRepublic,Secrets,224.67873
38,774,32,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Marea,Marea (version acustica),261.90322
39,774,33,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Mutemath,Collapse (Album Version),72.95955
40,774,34,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Yeasayer,Ambling Alp (DJ /Rupture & Brent Arnold Remix),241.89342
41,774,35,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Righteous Brothers,You've Lost That Lovin' Feelin',225.27955
42,774,36,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Katy Perry,I Kissed A Girl,179.40853
43,774,37,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",The Crests,16 Candles,182.88281
44,774,38,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Anberlin,Breathe,215.24853
45,797,0,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Coldplay,What If,296.80281
46,774,39,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Johnnie Taylor,Disco Lady,269.06077
47,797,1,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Xavier Rudd,My Missing,180.61016
48,774,40,80,Tegan,Levine,F,paid,"Portland-South Portland, ME",Richard Holmes,Flyjack,213.99465
49,797,2,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Telex,Spike Jones,205.63546
50,797,3,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Jimi Hendrix,Here He Comes (Lover Man),393.19465
51,797,4,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Manu KatchÃÂ©_ Mathias Eick_ Trygve Seim_ Marcin Wasilewski_ Slawomir Kurkiewicz,Snapshot,298.78812
52,797,5,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",John Michael Talbot,Holy Is His Name (For The Bride Album Version),210.49424
53,797,6,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",John Legend,P.D.A. (We Just Don't Care),278.77832
54,797,7,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Mike Shiver,On The Surface,400.29995
55,797,8,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Eminem / Dina Rae,Superman,350.11873
56,797,9,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Amy Winehouse,Me & Mr Jones,151.562
57,797,11,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Duncan Dhu,No Puedo Evitar (Pensar En Ti),202.91873
58,797,12,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Sneaker Pimps,Lightning Field,250.67057
59,797,13,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Trey Songz,LOL :-) [feat. Gucci Mane & Soulja Boy Tell 'Em] (Album Version),246.90893
60,797,14,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",CÃÂ³mplices,Es Por Ti,270.602
61,797,15,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Taylor Swift,Our Song,201.06404
62,797,16,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Amos Lee,Kid,190.87628
63,797,17,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Dead Kennedys,Kill The Poor,188.42077
64,797,18,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",CafÃÂ© Tacvba,El ciclÃÂ³n,174.41914
65,797,19,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Thousand Foot Krutch,Move,208.74404
66,797,20,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",SOJA,Look within,265.87383
67,797,21,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Kings Of Leon,Revelry,201.79546
68,64,0,65,Amiya,Davidson,F,paid,"Longview, TX",The Red Jumpsuit Apparatus,Face Down (Album Version),191.84281
69,797,24,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Panic At The Disco,Behind The Sea [Live In Chicago],259.29098
70,64,1,65,Amiya,Davidson,F,paid,"Longview, TX",Pavement,Mercy:The Laundromat,99.16036
71,64,2,65,Amiya,Davidson,F,paid,"Longview, TX",Lucinda Williams,Fancy Funeral,254.79791
72,797,25,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Alfredo Zitarrosa,Milonga En Do,267.02322
73,64,3,65,Amiya,Davidson,F,paid,"Longview, TX",First Aid Kit,Tangerine,187.97669
74,797,26,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Sam Cooke,Ain't Misbehavin,122.04363
75,64,4,65,Amiya,Davidson,F,paid,"Longview, TX",Thursday,Autobiography Of A Nation (Album Version),235.62404
76,797,27,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Guns N' Roses,Live And Let Die,184.0322
77,794,0,26,Ryan,Smith,M,free,"San Jose-Sunnyvale-Santa Clara, CA",Enigma,Knocking On Forbidden Doors,262.71302
78,797,28,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Dread Zeppelin,Dancin' On The Killing Floor,217.49506
79,64,5,65,Amiya,Davidson,F,paid,"Longview, TX",Sister Hazel,Happy,220.47302
80,797,29,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",The All-American Rejects,Swing_ Swing,233.27302
81,794,1,26,Ryan,Smith,M,free,"San Jose-Sunnyvale-Santa Clara, CA",Evanescence,Bring Me To Life,237.11302
82,64,6,65,Amiya,Davidson,F,paid,"Longview, TX",BeyoncÃÂ©,Hello,256.522
83,797,30,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Tycho,The Daydream,251.27138
84,64,7,65,Amiya,Davidson,F,paid,"Longview, TX",No Te Va Gustar,A La villa,35.86567
85,64,8,65,Amiya,Davidson,F,paid,"Longview, TX",Twista feat. Kayne West & Jamie Foxx,Slow Jamz (Feat. Kanye West & Jamie Foxx) (Edited Album Version),212.55791
86,797,31,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Incubus,Are You In?,263.60118
87,64,9,65,Amiya,Davidson,F,paid,"Longview, TX",Cold,Stupid Girl,189.83138
88,64,10,65,Amiya,Davidson,F,paid,"Longview, TX",Wu-Tang Clan,Dog Sh*t,214.85669
89,797,32,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",Cyndi Lauper,Girls Just Want To Have Fun,228.88444
90,64,11,65,Amiya,Davidson,F,paid,"Longview, TX",Five Iron Frenzy,Canada,236.09424
91,749,0,74,Braden,Parker,M,free,"Youngstown-Warren-Boardman, OH-PA",Swirlies,House Of Pancake,391.23546
92,797,33,97,Kate,Harrell,F,paid,"Lansing-East Lansing, MI",The Knife,Silent Shout,292.54485
